filePath,pointSize,styleItemName,styleItemCategory,styleItemTags,notes
{Symbols_Root}\Appendices\Land\mod2\10012.svg,32,Land Unit : Modifier 2 : {TODO_SET_CATEGORY} : Arctic,Land Unit : Modifier 2,Land Unit;Modifier 2;{TODO_SET_CATEGORY};Arctic;Appendices\Land\mod2\10012.svg;Land Unit : Modifier 2 : {TODO_SET_CATEGORY} : Arctic;10012,
{Symbols_Root}\Appendices\Land\mod2\10022.svg,32,Land Unit : Modifier 2 : {TODO_SET_CATEGORY} : Battle Damage Repair,Land Unit : Modifier 2,Land Unit;Modifier 2;{TODO_SET_CATEGORY};Battle Damage Repair;Appendices\Land\mod2\10022.svg;Land Unit : Modifier 2 : {TODO_SET_CATEGORY} : Battle Damage Repair;10022,
{Symbols_Root}\Appendices\Land\mod2\10032.svg,32,Land Unit : Modifier 2 : {TODO_SET_CATEGORY} : Bicycle Equipped,Land Unit : Modifier 2,Land Unit;Modifier 2;{TODO_SET_CATEGORY};Bicycle Equipped;Appendices\Land\mod2\10032.svg;Land Unit : Modifier 2 : {TODO_SET_CATEGORY} : Bicycle Equipped;10032,
{Symbols_Root}\Appendices\Land\mod2\10042.svg,32,Land Unit : Modifier 2 : {TODO_SET_CATEGORY} : Casualty Staging,Land Unit : Modifier 2,Land Unit;Modifier 2;{TODO_SET_CATEGORY};Casualty Staging;Appendices\Land\mod2\10042.svg;Land Unit : Modifier 2 : {TODO_SET_CATEGORY} : Casualty Staging;10042,
{Symbols_Root}\Appendices\Land\mod2\10052.svg,32,Land Unit : Modifier 2 : {TODO_SET_CATEGORY} : Clearing,Land Unit : Modifier 2,Land Unit;Modifier 2;{TODO_SET_CATEGORY};Clearing;Appendices\Land\mod2\10052.svg;Land Unit : Modifier 2 : {TODO_SET_CATEGORY} : Clearing;10052,
{Symbols_Root}\Appendices\Land\mod2\10062.svg,32,Land Unit : Modifier 2 : {TODO_SET_CATEGORY} : Close Range,Land Unit : Modifier 2,Land Unit;Modifier 2;{TODO_SET_CATEGORY};Close Range;Appendices\Land\mod2\10062.svg;Land Unit : Modifier 2 : {TODO_SET_CATEGORY} : Close Range;10062,
{Symbols_Root}\Appendices\Land\mod2\10072.svg,32,Land Unit : Modifier 2 : {TODO_SET_CATEGORY} : Control,Land Unit : Modifier 2,Land Unit;Modifier 2;{TODO_SET_CATEGORY};Control;Appendices\Land\mod2\10072.svg;Land Unit : Modifier 2 : {TODO_SET_CATEGORY} : Control;10072,
{Symbols_Root}\Appendices\Land\mod2\10082.svg,32,Land Unit : Modifier 2 : {TODO_SET_CATEGORY} : Decontamination,Land Unit : Modifier 2,Land Unit;Modifier 2;{TODO_SET_CATEGORY};Decontamination;Appendices\Land\mod2\10082.svg;Land Unit : Modifier 2 : {TODO_SET_CATEGORY} : Decontamination;10082,
{Symbols_Root}\Appendices\Land\mod2\10092.svg,32,Land Unit : Modifier 2 : {TODO_SET_CATEGORY} : Demolition,Land Unit : Modifier 2,Land Unit;Modifier 2;{TODO_SET_CATEGORY};Demolition;Appendices\Land\mod2\10092.svg;Land Unit : Modifier 2 : {TODO_SET_CATEGORY} : Demolition;10092,
{Symbols_Root}\Appendices\Land\mod2\10102.svg,32,Land Unit : Modifier 2 : {TODO_SET_CATEGORY} : Dental,Land Unit : Modifier 2,Land Unit;Modifier 2;{TODO_SET_CATEGORY};Dental;Appendices\Land\mod2\10102.svg;Land Unit : Modifier 2 : {TODO_SET_CATEGORY} : Dental;10102,
{Symbols_Root}\Appendices\Land\mod2\10112.svg,32,Land Unit : Modifier 2 : {TODO_SET_CATEGORY} : Digital,Land Unit : Modifier 2,Land Unit;Modifier 2;{TODO_SET_CATEGORY};Digital;Appendices\Land\mod2\10112.svg;Land Unit : Modifier 2 : {TODO_SET_CATEGORY} : Digital;10112,
{Symbols_Root}\Appendices\Land\mod2\10122.svg,32,Land Unit : Modifier 2 : {TODO_SET_CATEGORY} : Enhanced Position Location Reporting System (EPLRS),Land Unit : Modifier 2,Land Unit;Modifier 2;{TODO_SET_CATEGORY};Enhanced Position Location Reporting System (EPLRS);Appendices\Land\mod2\10122.svg;Land Unit : Modifier 2 : {TODO_SET_CATEGORY} : Enhanced Position Location Reporting System (EPLRS);10122,
