# Generated from: https://github.com/Esri/military-features-data/tree/master/data/mil2525c
# License: Apache V2: https://github.com/Esri/military-features-data/blob/master/license.txt

Chemical H,GHMPNEC-------X,C2 Military Operations.style,NBC,P,Appendix B; Mobility Survivability; Chemical; Biological; Radiological; Nuclear; Hostile; Release Events; GHMPNEC-------X
Chemical N,GNMPNEC-------X,C2 Military Operations.style,NBC,P,Appendix B; Mobility Survivability; Chemical; Biological; Radiological; Nuclear; Neutral; Release Events; GNMPNEC-------X
Chemical U,GUMPNEC-------X,C2 Military Operations.style,NBC,P,Appendix B; Mobility Survivability; Chemical; Biological; Radiological; Nuclear; Unknown; Release Events; GUMPNEC-------X
Civilian Collection Point F,GFSPPT--------X,C2 Military Operations.style,Combat Service Support,P,Appendix B; Combat Service Support; Friendly; Civilian Collection Point; CIV; GFSPPT--------X
Civilian Collection Point H,GHSPPT--------X,C2 Military Operations.style,Combat Service Support,P,Appendix B; Combat Service Support; Hostile; Civilian Collection Point; CIV; GHSPPT--------X
Civilian Collection Point N,GNSPPT--------X,C2 Military Operations.style,Combat Service Support,P,Appendix B; Combat Service Support; Neutral; Civilian Collection Point; CIV; GNSPPT--------X
Civilian Collection Point U,GUSPPT--------X,C2 Military Operations.style,Combat Service Support,P,Appendix B; Combat Service Support; Unkown; Civilian Collection Point; CIV; GUSPPT--------X
Combat Air Patrol (CAP) F,GFGPGPAP------X,C2 Military Operations.style,Aviation,P,Appendix B; Command And Control And General Maneuver; General; Friendly; Combat Air Patrol; Cap; GFgpgpap------x
Combat Air Patrol (CAP) H,GHGPGPAP------X,C2 Military Operations.style,Aviation,P,Appendix B; Command And Control And General Maneuver; General; Hostile; Combat Air Patrol; Cap; GHgpgpap------x
Combat Air Patrol (CAP) N,GNGPGPAP------X,C2 Military Operations.style,Aviation,P,Appendix B; Command And Control And General Maneuver; General; Neutral; Combat Air Patrol; Cap; GNgpgpap------x
Combat Air Patrol (CAP) U,GUGPGPAP------X,C2 Military Operations.style,Aviation,P,Appendix B; Command And Control And General Maneuver; General; Unknown; Combat Air Patrol; Cap; GUgpgpap------x
Command Active Sonobuoy System (CASS) F,GFGPGPUYC-----X,C2 Military Operations.style,Sea Subsurface,P,Appendix B; Command and Control and General Maneuver; General; Friendly; Under Sea Warfare; Sonobuoy; Command Active Sonobuoy System; Cass; GFGPGPUYC-----X
Command Active Sonobuoy System (CASS) H,GHGPGPUYC-----X,C2 Military Operations.style,Sea Subsurface,P,Appendix B; Command and Control and General Maneuver; General; Hostile; Under Sea Warfare; Sonobuoy; Command Active Sonobuoy System; Cass; GHGPGPUYC-----X
Command Active Sonobuoy System (CASS) N,GNGPGPUYC-----X,C2 Military Operations.style,Sea Subsurface,P,Appendix B; Command and Control and General Maneuver; General; Neutral; Under Sea Warfare; Sonobuoy; Command Active Sonobuoy System; Cass; GNGPGPUYC-----X
Command Active Sonobuoy System (CASS) U,GUGPGPUYC-----X,C2 Military Operations.style,Sea Subsurface,P,Appendix B; Command and Control and General Maneuver; General; Unknown; Under Sea Warfare; Sonobuoy; Command Active Sonobuoy System; Cass; GUGPGPUYC-----X
Communications Checkpoint (CCP) F,GFGPAPC---****X,C2 Military Operations.style,Aviation,P,Appendix B; Command And Control And General Maneuver;  Aviation; Friendly; Communications Checkpoint ;  CCP; GFGPAPC---****X
Communications Checkpoint (CCP) H,GHGPAPC---****X,C2 Military Operations.style,Aviation,P,Appendix B; Command And Control And General Maneuver;  Aviation; Hostile; Communications Checkpoint ;  CCP; GHGPAPC---****X
Communications Checkpoint (CCP) N,GNGPAPC---****X,C2 Military Operations.style,Aviation,P,Appendix B; Command And Control And General Maneuver;  Aviation; Neutral; Communications Checkpoint ;  CCP; GNGPAPC---****X
Communications Checkpoint (CCP) U,GUGPAPC---****X,C2 Military Operations.style,Aviation,P,Appendix B; Command And Control And General Maneuver;  Aviation; Unknown; Communications Checkpoint ;  CCP; GUGPAPC---****X
Contact Point F,GFGPGPPC------X,C2 Military Operations.style,Action Points,P,Appendix B; Command and Control and General Maneuver; General Action Points; Friendly; Contact Point; GFGPGPPC------X
Contact Point H,GHGPGPPC------X,C2 Military Operations.style,Action Points,P,Appendix B; Command and Control and General Maneuver; General Action Points; Hostile; Contact Point; GHGPGPPC------X
Contact Point N,GNGPGPPC------X,C2 Military Operations.style,Action Points,P,Appendix B; Command and Control and General Maneuver; General Action Points; Neutral; Contact Point; GNGPGPPC------X
Contact Point U,GUGPGPPC------X,C2 Military Operations.style,Action Points,P,Appendix B; Command and Control and General Maneuver; General Action Points; Unknown; Contact Point; GUGPGPPC------X
Coordination Point F,GFGPGPPO--****X,C2 Military Operations.style,Action Points,P,Appendix B; Command And Control And General Maneuver; General; Action Points; Friendly; Coordination Point; GFGPGPPO--****X
