# Source File: https://github.com/Esri/military-features-data/blob/master/test/TestReproData/Mil-2525C-Wildcards.csv
# License: Apache V2: https://github.com/Esri/military-features-data/blob/master/license.txt
# Full SIDC,SIDC By Parts,Hierarchy Code,Name,Geometry
S*G*E----------,S * G * E- -- -- ** ** *,WAR.GRDTRK.EQT,Ground Track Equipment,
S*G*EV---------,S * G * EV -- -- ** ** *,WAR.GRDTRK.EQT.GRDVEH,Ground Vehicle,
S*G*EVA--------,S * G * EV A- -- ** ** *,WAR.GRDTRK.EQT.GRDVEH.ARMD,Armored Vehicle,
S*G*EVAI-------,S * G * EV AI -- ** ** *,WAR.GRDTRK.EQT.GRDVEH.ARMD.ARMINF,Armored Infantry,
S*G*EVAA-------,S * G * EV AA -- ** ** *,WAR.GRDTRK.EQT.GRDVEH.ARMD.ARMPC,Armored Personnel Carrier,
S*G*EVAAR------,S * G * EV AA R- ** ** *,WAR.GRDTRK.EQT.GRDVEH.ARMD.ARMPC.RCY,Armored Personnel Carrier Recovery,
S*G*EVAC-------,S * G * EV AC -- ** ** *,WAR.GRDTRK.EQT.GRDVEH.ARMD.C2V,C2V/Acv,
S*G*EVAS-------,S * G * EV AS -- ** ** *,WAR.GRDTRK.EQT.GRDVEH.ARMD.CSSVEH,Combat Service Support Vehicle,
S*G*EVAL-------,S * G * EV AL -- ** ** *,WAR.GRDTRK.EQT.GRDVEH.ARMD.LARMVH,Light Armored Vehicle,
S*G*EVAT-------,S * G * EV AT -- ** ** *,WAR.GRDTRK.EQT.GRDVEH.ARMD.TANK,Tank,
S*G*EVATH------,S * G * EV AT H- ** ** *,WAR.GRDTRK.EQT.GRDVEH.ARMD.TANK.HVY,Tank Heavy,
S*G*EVATHR-----,S * G * EV AT HR ** ** *,WAR.GRDTRK.EQT.GRDVEH.ARMD.TANK.HVY.RCY,Tank Heavy Recovery,
S*G*EVATL------,S * G * EV AT L- ** ** *,WAR.GRDTRK.EQT.GRDVEH.ARMD.TANK.LIT,Tank Light,
S*G*EVATLR-----,S * G * EV AT LR ** ** *,WAR.GRDTRK.EQT.GRDVEH.ARMD.TANK.LIT.RCY,Tank Light Recovery,
S*G*EVATM------,S * G * EV AT M- ** ** *,WAR.GRDTRK.EQT.GRDVEH.ARMD.TANK.MDM,Tank Medium,
S*G*EVATMR-----,S * G * EV AT MR ** ** *,WAR.GRDTRK.EQT.GRDVEH.ARMD.TANK.MDM.RCY,Tank Medium Recovery,
S*G*EVC--------,S * G * EV C- -- ** ** *,WAR.GRDTRK.EQT.GRDVEH.CVLVEH,Civilian Vehicle,
S*G*EVCA-------,S * G * EV CA -- ** ** *,WAR.GRDTRK.EQT.GRDVEH.CVLVEH.AUT,Automobile,
S*G*EVCAL------,S * G * EV CA L- ** ** *,WAR.GRDTRK.EQT.GRDVEH.CVLVEH.AUT.CPCT,Compact Automobile,
S*G*EVCAM------,S * G * EV CA M- ** ** *,WAR.GRDTRK.EQT.GRDVEH.CVLVEH.AUT.MDSZ,Midsize Automobile,
S*G*EVCAH------,S * G * EV CA H- ** ** *,WAR.GRDTRK.EQT.GRDVEH.CVLVEH.AUT.SDN,Sedan Automobile,
S*G*EVCJ-------,S * G * EV CJ -- ** ** *,WAR.GRDTRK.EQT.GRDVEH.CVLVEH.JP,Jeep Type Vehicle,
S*G*EVCJH------,S * G * EV CJ H- ** ** *,WAR.GRDTRK.EQT.GRDVEH.CVLVEH.JP.LRG,Large/Heavy Jeep Type Vehicle,
S*G*EVCJM------,S * G * EV CJ M- ** ** *,WAR.GRDTRK.EQT.GRDVEH.CVLVEH.JP.MDM,Medium Jeep Type Vehicle,
S*G*EVCJL------,S * G * EV CJ L- ** ** *,WAR.GRDTRK.EQT.GRDVEH.CVLVEH.JP.SMAL,Small/Light Jeep Type Vehicle,
S*G*EVCM-------,S * G * EV CM -- ** ** *,WAR.GRDTRK.EQT.GRDVEH.CVLVEH.MPV,Multiple Passenger Vehicle,
S*G*EVCMH------,S * G * EV CM H- ** ** *,WAR.GRDTRK.EQT.GRDVEH.CVLVEH.MPV.LBUS,Large Bus Multiple Passenger Vehicle,
S*G*EVCMM------,S * G * EV CM M- ** ** *,WAR.GRDTRK.EQT.GRDVEH.CVLVEH.MPV.SBUS,Small Bus Multiple Passenger Vehicle,
